"UIC","Gare","","Lundi","Mardi","Mercredi","Jeudi","Vendredi","Samedi","Dimanche_jours_feries ","","","","","","","","","",""
"345561","CAUDRY","","12h00 - 19h00","12h00 - 19h00","12h00 - 19h00","12h00 - 19h00","12h00 - 19h00","9h00 - 13h0 / 14h00 - 17h00","-","","","","","","","","","",""
"276725","CHAMBLY","","5h35 - 12h45 / 13h10 - 20h20","5h35 - 12h45 / 13h10 - 20h20","5h35 - 12h45 / 13h10 - 20h20","5h35 - 12h45 / 13h10 - 20h20","5h35 - 12h45 / 13h10 - 20h20","8h05 - 15h15","8h05 - 15h15","","","","","","","","","",""
"276113","CHANTILLY-GOUVIEUX","","5h45 - 20h45","5h45 - 20h45","5h45 - 20h45","5h45 - 20h45","5h45 - 20h45","5h45 - 20h45","5h45 - 20h45","","","","","","","","","",""
"116582","CHÂTEAU-THIERRY","","4h45 - 23h30","4h45 - 23h30","4h45 - 23h30","4h45 - 23h30","4h45 - 23h30","4h45 - 23h30","4h45 - 23h30","","","","","","","","","",""
"313478","CHAULNES","","6h15 - 20h15","6h15 - 20h15","6h15 - 20h15","6h15 - 20h15","6h15 - 21h15","7h55 - 15h10","10h55 - 18h10","","","","","","","","","",""
"381228","CHAUMONT-EN-VEXIN","","6h20 - 20h00","6h20 - 20h00","6h20 - 20h00","6h20 - 20h00","6h20 - 20h00","-","-","","","","","","","","","",""
"296616","CHAUNY","","4h55 - 19h50","4h55 - 19h50","4h55 - 19h50","4h55 - 19h50","4h55 - 19h50","5h15 - 12h30 / 12h55 - 20h10","6h15 - 13h10 / 13h40 - 20h45","","","","","","","","","",""
"313551","CIRES-LES-MELLO","","5h40 - 19h35","5h40 - 19h35","5h40 - 19h35","5h40 - 19h35","5h40 - 19h35","9h00 - 13h00","-","","","","","","","","","",""
"313304","CLERMONT-DE-L'OISE","","5h40 - 20h00","5h40 - 20h00","5h40 - 20h00","5h40 - 20h00","5h40 - 20h00","5h40 - 20h00","5h40 - 20h00","","","","","","","","","",""
"286260","COMINES-France","","-","-","9h45 - 12h15 / 13h45 - 18h15","-","9h45 - 12h15 / 13h45 - 18h15","-","-","","","","","","","","","",""
"276691","COMPIEGNE","","4h30 - 23h45","4h30 - 23h45","4h30 - 23h45","4h30 - 23h45","4h30 - 23h45","5h00 - 23h45","6h00 - 23h45","","","","","","","","","",""
"313056","CORBIE","","6h00 - 13h15","6h00 - 13h15","6h00 - 13h15","6h00 - 13h15","6h00 - 13h15","6h40 - 13h55","-","","","","","","","","","",""
"276006","CREIL","","4h20 - 23h50","5h00 - 23h50","5h00 - 23h50","5h00 - 23h50","5h00 - 23h50","5h00 - 23h50","5h00 - 23h50","","","","","","","","","",""
"271593","CREPY-EN-VALOIS","","4h40 - 19h45","4h40 - 19h45","4h40 - 19h45","4h40 - 19h45","4h40 - 19h45","6h10 - 19h30","6h10 - 20h35","","","","","","","","","",""
"286716","CROIX-WASQUEHAL","","8h00 - 20h00","8h00 - 20h00","8h00 - 20h00","8h00 - 20h00","8h00 - 20h00","9h00 - 18h00","-","","","","","","","","","",""
"343459","DENAIN","","-","-","12h00 - 19h00","-","12h00 - 19h00","9h00 - 13h00 / 14h00 - 17h00","-","","","","","","","","","",""
"286435","DON-SAINGHIN","","6h00 - 20h00","6h00 - 20h00","6h00 - 20h00","6h00 - 20h00","6h00 - 20h00","9h00 - 12h00 / 13h00 - 17h00","-","","","","","","","","","",""
"345009","DOUAI","","5h20 - 22h30","5h20 - 22h30","5h20 - 22h30","5h20 - 22h30","5h20 - 22h30","6h05 - 21h45","7h55 - 23h25","","","","","","","","","",""
"345165","DOURGES","","6h00 - 13h00","6h00 - 13h00","6h00 - 13h00","6h00 - 13h00","6h00 - 13h00","-","-","","","","","","","","","",""
